date,PM10_MIN,PM10_MAX,PM10_AVG
2008-10-21,57.0,120.0,85.2
2008-10-22,12.0,88.0,36.6
2008-10-23,0.0,56.0,19.5
2008-10-24,0.0,43.0,19.3
2008-10-25,14.0,65.0,33.9
2008-10-26,16.0,90.0,40.1
2008-10-27,17.0,48.0,35.5
2008-10-28,14.0,64.0,31.9
2008-10-29,17.0,86.0,42.5
2008-10-30,24.0,59.0,43.3
2008-10-31,18.0,75.0,45.6
2008-11-01,12.0,64.0,40.4
2008-11-02,14.0,145.0,64.9
2008-11-03,17.0,108.0,42.5
2008-11-04,17.0,70.0,36.6
2008-11-05,37.0,72.0,51.9
2008-11-06,50.0,160.5,85.0
2008-11-08,0.0,72.0,34.8
2008-11-09,0.0,32.0,12.2
2008-11-10,0.0,39.0,14.9
2008-11-11,0.0,42.0,23.2
2008-11-12,26.0,67.0,41.4
2008-11-13,28.0,74.0,49.2
2008-11-14,37.0,78.0,56.4
2008-11-15,29.0,90.0,61.7
2008-11-16,14.0,81.0,39.7
2008-11-17,11.0,57.0,29.1
2008-11-18,14.0,67.0,30.3
2008-11-19,12.0,50.0,32.3
2008-11-20,10.0,108.0,39.7
2008-11-21,2.0,60.0,29.6
2008-11-22,17.0,82.0,36.3
2008-11-23,26.0,75.0,54.5
2008-11-24,44.0,93.0,70.3
2008-11-25,31.0,83.0,63.2
2008-11-26,55.0,103.0,77.2
2008-11-27,10.0,80.0,42.0
2008-11-28,8.0,68.0,35.6
2008-11-29,8.0,56.0,30.4
2008-11-30,13.0,46.0,31.1
2008-12-01,15.0,57.0,38.6
2008-12-03,45.0,142.0,88.2
2008-12-04,3.0,129.0,58.2
2008-12-05,10.0,55.0,30.4
2008-12-06,18.0,56.0,33.8
2008-12-07,23.0,65.0,39.9
2008-12-08,17.0,143.0,74.6
2008-12-11,11.0,160.5,50.8
2008-12-12,27.0,96.0,54.0
2008-12-13,28.0,93.0,61.5
2008-12-14,8.0,63.0,31.2
2008-12-15,11.0,79.0,42.3
2008-12-16,41.0,108.0,63.7
2008-12-18,28.0,103.0,46.1
2008-12-19,23.0,76.0,43.7
2008-12-20,11.0,89.0,52.3
2008-12-21,35.0,75.0,50.5
2008-12-22,18.0,79.0,35.8
2008-12-23,18.0,80.0,44.9
2008-12-24,0.0,85.0,47.0
2008-12-25,16.0,122.0,55.5
2008-12-26,19.0,48.0,30.9
2008-12-27,23.0,113.0,56.4
2008-12-28,59.0,111.0,78.3
2008-12-29,34.0,113.0,75.3
2008-12-30,23.0,62.0,43.1
2008-12-31,28.0,61.0,44.8
2009-01-01,34.0,57.0,43.6
2009-01-02,25.0,71.0,45.8
2009-01-03,18.0,81.0,46.4
2009-01-04,15.0,75.0,40.1
2009-01-05,39.0,81.0,59.9
2009-01-07,41.0,131.0,81.7
2009-01-08,29.0,130.0,73.2
2009-01-09,37.0,101.0,64.8
2009-01-10,27.0,106.0,53.0
2009-01-11,22.0,118.0,41.6
2009-01-12,36.0,76.0,53.0
2009-01-13,27.0,77.0,42.7
2009-01-14,32.0,114.0,62.9
2009-01-15,18.0,67.0,37.3
2009-01-16,27.0,108.0,56.8
2009-01-19,14.0,160.5,77.2
2011-04-20,26.0,104.0,71.9
2011-04-21,15.0,87.0,55.1
2011-04-22,0.0,65.0,23.0
2011-04-23,0.0,58.0,34.9
2011-04-24,21.0,68.0,44.1
2011-04-25,6.0,64.0,46.1
2011-04-26,6.0,38.0,22.4
2011-04-27,4.0,62.0,24.2
2011-04-28,0.0,46.0,19.4
2011-04-29,24.0,69.0,46.6
2011-04-30,0.0,75.0,21.3
